RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Category Left	Index Right	Index Left	Pupil Size Right X [px]	Pupil Size Right Y [px]	Pupil Diameter Right [mm]	Pupil Size Left X [px]	Pupil Size Left Y [px]	Pupil Diameter Left [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Point of Regard Left X [px]	Point of Regard Left Y [px]	AOI Name Right	AOI Name Left	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Gaze Vector Left X	Gaze Vector Left Y	Gaze Vector Left Z	Eye Position Right X [mm]	Eye Position Right Y [mm]	Eye Position Right Z [mm]	Eye Position Left X [mm]	Eye Position Left Y [mm]	Eye Position Left Z [mm]	Pupil Position Right X [px]	Pupil Position Right Y [px]	Pupil Position Left X [px]	Pupil Position Left Y [px]	Port Status
1023843.3	14:19:41:969	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.5	26.5	4.7	24.6	24.6	4.4	816.3	410.7	822.1	400.6	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28	15.2	595.7	-34.8	16.9	589.2	1195.6	669.8	1532.2	659.8	0
1023859.9	14:19:41:986	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.5	26.5	4.7	24.6	24.6	4.4	814.5	409.4	822.4	399.5	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28	15.3	595.8	-34.8	16.9	589.3	1196	669.8	1532.5	659.6	0
1023876.6	14:19:42:002	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.3	26.3	4.7	24.3	24.3	4.4	816.5	404.6	820.4	398.1	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	27.9	15.3	595.6	-34.9	17	588.9	1195.9	669.4	1532.9	659.4	0
1023893.2	14:19:42:019	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.2	26.2	4.7	24.4	24.4	4.4	817.7	404.7	820.2	396.9	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	27.9	15.3	595.4	-34.9	17	589	1196.1	669.3	1533	659	0
1023909.9	14:19:42:036	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.3	26.3	4.7	24.4	24.4	4.3	816.8	404.9	820.5	396.6	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	27.8	15.4	595.2	-35	17.1	589.1	1196.4	669.1	1533.1	658.9	0
1023926.6	14:19:42:052	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.5	26.5	4.7	24.4	24.4	4.3	818	403.7	822.1	396.9	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	27.8	15.4	595.2	-35	17.1	588.8	1196.4	668.9	1533.3	658.8	0
1023943.2	14:19:42:069	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.4	26.4	4.7	24.3	24.3	4.3	819.3	402.5	820.6	396.2	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	27.8	15.4	595.3	-35	17.1	588.5	1196.5	668.8	1533.7	658.5	0
1023959.9	14:19:42:086	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.5	26.5	4.7	24.3	24.3	4.3	819.2	402.7	819.6	397.6	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	27.8	15.5	595.4	-35	17.1	587.9	1196.7	668.7	1533.9	658.6	0
1023976.5	14:19:42:102	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.1	26.1	4.7	24.4	24.4	4.3	819.4	399	819.5	397.5	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	27.8	15.5	595.6	-35	17.1	587.9	1196.8	668.5	1534.1	658.4	0
1023993.3	14:19:42:119	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.3	26.3	4.7	24.3	24.3	4.3	820.5	398.7	819.1	398.2	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	27.7	15.5	595.4	-35.1	17.1	588.1	1196.9	668.5	1534.3	658.5	0
1024009.9	14:19:42:136	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.4	26.4	4.7	24.5	24.5	4.3	821	396.7	818.2	398.2	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	27.7	15.5	594.9	-35.1	17.1	588.1	1197.2	668.3	1534.7	658.4	0
1024026.5	14:19:42:152	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.4	26.4	4.7	24.2	24.2	4.3	821.4	398.4	818.6	397.6	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	27.6	15.5	595.1	-35.2	17.1	587.6	1197.5	668.5	1534.9	658.5	0
1024043.2	14:19:42:169	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.3	26.3	4.7	24.1	24.1	4.3	820.7	397	818.9	397.5	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	27.6	15.5	595.3	-35.3	17.1	588	1198	668.4	1535.3	658.5	0
1024059.9	14:19:42:186	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.1	26.1	4.7	24.5	24.5	4.3	820.2	396.5	819.3	399.5	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	27.5	15.5	594.8	-35.3	17	587.2	1198.2	668.3	1535.8	658.9	0
1024076.5	14:19:42:202	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.3	26.3	4.7	24.5	24.5	4.3	819.2	397.5	819.9	401.4	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	27.4	15.5	595.1	-35.4	17	587.2	1198.5	668.6	1536	659	0
1024093.2	14:19:42:219	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Saccade	Saccade	2	2	26.3	26.3	4.7	24.3	24.3	4.3	818.9	394.6	819.3	402.3	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	27.4	15.4	595.2	-35.4	17	587.3	1198.9	668.5	1536.4	659	0
1024109.8	14:19:42:236	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Saccade	Saccade	2	2	26.5	26.5	4.7	24.7	24.7	4.3	951.6	395.9	927.7	403.7	White Space	White Space	0	0.3	-0.9	0	0.3	-0.9	27.6	15.4	594.8	-35.2	17	587.4	1196	668.9	1533.7	659.2	0
1024126.5	14:19:42:252	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	2	2	26.2	26.2	4.7	24.7	24.7	4.3	1131.8	398.4	1095.3	412.1	White Space	White Space	0.1	0.3	-0.9	0.1	0.3	-0.9	28.1	15.3	594.7	-34.6	16.9	587.3	1191.1	669.5	1528.6	659.8	0
1024143.1	14:19:42:269	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	2	2	26.2	26.2	4.7	24.8	24.8	4.3	1134.8	404.2	1136.5	420.5	White Space	White Space	0.1	0.3	-0.9	0.1	0.3	-0.9	28.3	15.2	595.1	-34.4	16.9	587.4	1190.1	670.1	1526.8	660	0
