"","Subject","EyeChoice","Match_TrackAccuracy","BetterTracking","TrackingDiffAboveThresh","BetterAccuracy","AccuracyDiffAboveThresh","TrackingDiff","TrackingRatio_L","TrackingRatio_R","TotalSamples","NSamples_L","NSamples_R","AccuracyDiff","Deviation_L","stdev_L","Duration_L","Deviation_R","stdev_R","Duration_R","ScreenDistance_R","ScreenDistance_L"
"1","P01","Left",1,"L",0,"L",0,0,100,100,2322,2322,2313,20.9443460978506,25.0267328001662,12.8734212214347,1716.04999999999,45.9710788980168,8.6260936261366,1607.74999999997,644.613186338089,647.512575366064
"2","P02","Left",1,"L",1,"L",0,45,99,54,2500,2480,1338,6.87465163322478,43.7285987306655,5.8287997865433,1620.27500000002,50.6032503638903,10.2356178573571,1536.95000000004,632.32047832586,627.654879032258
"3","P03","Right",0,"R",1,"L",0,25,63,88,2653,1659,2341,7.90279820735384,71.872856869893,12.5311354579148,1591.07500000004,79.7756550772469,9.75852000551977,1666.05000000005,605.009141392567,597.726582278481
"4","P04","Left",1,"L",0,"L",0,2,52,50,5604,2912,2828,12.5434791620309,23.427904677044,5.40386437732889,2188.06666666673,35.9713838390748,8.8486720406044,2749.10000000009,591.387906647808,583.865315934066
"5","P05","Left",1,"L",0,"L",0,0,90,90,3156,2846,2842,11.7132886359,106.005275682006,7.85800488062898,2165.79999999981,117.718564317906,10.83445307075,1932.5,542.581140042224,532.822066057625
